2018 SOC Code,Description
51-609X,Felting machine operator
51-609X,Feltmaker
51-609X,Fiber drier operator
51-609X,Fiber machine tender
51-609X,Fiberglass dowel drawing operator
51-609X,Fiberglass layout or layup
51-609X,Filling layer up
51-609X,Fish net maker
51-609X,Fixer exc machine
51-609X,Flyer
51-609X,Flyer builder
51-609X,Flyer maker
51-609X,Folder machine operator
51-609X,Folder operator
51-609X,Folder\ ns
51-609X,Folding machine operator
51-609X,Forming machine operator
51-609X,Foundation maker
51-609X,Frame maker
51-609X,French comber
51-609X,French weaver
51-609X,Fuller
51-609X,Fulling machine operator
51-609X,Fulling mill operator
51-609X,Fur blower operator
51-609X,Fur cleaner
51-609X,Fur comber
51-609X,Fur cutter
51-609X,Fur dresser
51-609X,Fur drummer
51-609X,Fur feeder
51-609X,Fur finisher\ ns
51-609X,Fur glazer
51-609X,Fur glosser
51-609X,Fur machine operator
51-609X,Fur matcher
51-609X,Fur nailer
51-609X,Fur pointer
51-609X,Fur polisher
51-609X,Fur puller
51-609X,Fur tanner
51-609X,Furrier exc designer
51-609X,Fusing machine operator
51-609X,Fusion operator
51-609X,Garment patternmaker
51-609X,Garnett machine operator
51-609X,Garnett room worker
51-609X,Garnetter
51-609X,Gas singer
51-609X,Gasser
51-609X,Gasser machine operator
51-609X,Gig tender
51-609X,Gigger
51-609X,Gill box tender
51-609X,Gill tender
51-609X,Gin feeder
51-609X,Glove brusher
51-609X,Gold tooler
51-609X,Greaser operator
51-609X,Grey percher
51-609X,Grey tender
51-609X,Grey washer
51-609X,Gripper installer
51-609X,Gripper machine operator
51-609X,Grommet machine operator
51-609X,Guide changer
51-609X,Gum worker
51-609X,Hair boiler
51-609X,Hair boiler operator
51-609X,Hair dryer
51-609X,Hair machine operator
51-609X,Hander in
51-609X,Harness cutter
51-609X,Harness mender
51-609X,Hat blocking machine operator
51-609X,Hat copyist
51-609X,Hat finisher
51-609X,Hat former
51-609X,Hat maker
51-609X,Hat sizer
51-609X,Hat trimmer
51-609X,Hatter
51-609X,Heddler
51-609X,Helmet coverer
51-609X,Hide tanner
51-609X,Hooker
51-609X,Hooker machine tender
51-609X,Hosiery mater
51-609X,Hosiery pairer
51-609X,Hot frame tender
51-609X,Hydraulic blocker
51-609X,Impregnator
51-609X,Inker\ ns
51-609X,Jack machine operator
51-609X,Jacker
51-609X,Jacquard card cutter
51-609X,Jacquard plate maker
51-609X,Jacquard twine polisher operator
51-609X,Kapok machine operator
51-609X,Kettle hand
51-609X,Kettler
51-609X,Kicking machine operator
51-609X,Knife finisher
51-609X,Knife machine operator
51-609X,Knit goods washer
51-609X,Lace finisher
51-609X,Lacer hand
51-609X,Laceworker
51-609X,Laminating machine operator
51-609X,Laminator\ ns
51-609X,Lamp shade maker
51-609X,Lap layer
51-609X,Lap maker
51-609X,Lap runner
51-609X,Lapper\ ns
51-609X,Layout worker\ ns
51-609X,Lease picker
51-609X,Leasing machine tender
51-609X,Lime boiler
51-609X,Lusterer
51-609X,Lye boiler
51-609X,Mangle tender
51-609X,Marking machine operator
51-609X,Matcher
51-609X,Mater
51-609X,Material spreader
51-609X,Measuring machine operator
51-609X,Mellowing machine operator
51-609X,Mercerizer
51-609X,Mercerizer machine operator
51-609X,Middle card tender
51-609X,Mill turner
51-609X,Milliner
51-609X,Millinery copyist
51-609X,Millinery worker
51-609X,Mixing picker tender
51-609X,Napper
51-609X,Napper fixer
51-609X,Napper runner
51-609X,Napper tender
51-609X,Napping machine operator
51-609X,Needle control cheniller
51-609X,Needle felt making machine operator
51-609X,Needle loom operator
51-609X,Needle loom setter
51-609X,Needle loom tender
51-609X,Needle punch operator
51-609X,Net maker
51-609X,Neutralizer
51-609X,Nub card tender
51-609X,Open developer operator
51-609X,Open soaper tender
51-609X,Opener tender
51-609X,Pad extraction tender
51-609X,Pad extractor tender
51-609X,Pad machine operator
51-609X,Pad maker
51-609X,Pad making machine operator
51-609X,Padder
51-609X,Padding machine operator
51-609X,Pairer
51-609X,Panelboard operator
51-609X,Patch washer
51-609X,Pattern chain builder
51-609X,Pattern changer
51-609X,Pattern grader
51-609X,Pattern grader cutter
51-609X,Pattern stamper
51-609X,Patternmaker clothing
51-609X,Patternmaker fashion
51-609X,Patternmaker garment
51-609X,Patternmaker\ ns
51-609X,Percher
51-609X,Perforating machine operator
51-609X,Pick out hand
51-609X,Pick pulling machine tender
51-609X,Picker hand
51-609X,Picker operator
51-609X,Picker tender
51-609X,Picker\ ns
51-609X,Pickling machine operator
51-609X,Piecer
51-609X,Piler
51-609X,Pin drafter
51-609X,Pin drafter operator
51-609X,Pin drafting machine operator
51-609X,Pin drafting machine tender
51-609X,Pin machine operator
51-609X,Piper
51-609X,Pleat patternmaker
51-609X,Plush brusher
51-609X,Plush dresser
51-609X,Plush finisher
51-609X,Pointer
51-609X,Pouncer
51-609X,Pouncing lathe operator
51-609X,Preboarder
51-609X,Preparing box tender
51-609X,Process operator
51-609X,Processor\ ns
51-609X,Puller
51-609X,Punch box tender
51-609X,Quill layer
51-609X,Rail filler
51-609X,Rail setter
51-609X,Railway head tender
51-609X,Range feeder
51-609X,Raveler
51-609X,Reacher
51-609X,Reed fixer
51-609X,Reed maker
51-609X,Reel stripper
51-609X,Reeling machine operator
51-609X,Repairer carpet
51-609X,Repairer oriental rug
51-609X,Repairer rug
51-609X,Reweaver
51-609X,Ribbon blockmaker
51-609X,Ribbon lapper tender
51-609X,Rider ticket worker
51-609X,Rippler
51-609X,Roll coverer
51-609X,Roll press operator
51-609X,Roll turner
51-609X,Roller coverer
51-609X,Roller machine operator
51-609X,Roller operator
51-609X,Roller painter
51-609X,Roller setter
51-609X,Roller turner
51-609X,Roller varnisher
51-609X,Room worker
51-609X,Rope maker
51-609X,Rope silica machine operator
51-609X,Rover
51-609X,Rover tender
51-609X,Roving can tender
51-609X,Roving marker
51-609X,Rug cleaner
51-609X,Runner on
51-609X,Sail lay out worker
51-609X,Sail maker
51-609X,Sampler\ ns
51-609X,Sanforizer
51-609X,Sanforizing machine operator
51-609X,Scouring machine tender
51-609X,Screen maker textile
51-609X,Scutcher
51-609X,Scutcher tender
51-609X,Second baller
51-609X,Second hand
51-609X,Second time worker
51-609X,Setter out
51-609X,Shade maker
51-609X,Shaker
51-609X,Shell worker
51-609X,Shoddy mill worker
51-609X,Shoe patternmaker
51-609X,Shuttle filler
51-609X,Silk hanger
51-609X,Silk snapper
51-609X,Silk soaker
51-609X,Silk spreader
51-609X,Silk worker
51-609X,Singe machine operator
51-609X,Size roller operator
51-609X,Size worker
51-609X,Sizer hand
51-609X,Sizer\ ns
51-609X,Skein bander
51-609X,Skein drier
51-609X,Skein straightener
51-609X,Skein tier
51-609X,Skein yard drier
51-609X,Skin drier
51-609X,Slash trimmer
51-609X,Slasher
51-609X,Slasher hand
51-609X,Slasher machine operator
51-609X,Slasher operator
51-609X,Slasher runner
51-609X,Slasher tender
51-609X,Sliver lap tender
51-609X,Sliver lapper
51-609X,Snagger
51-609X,Soaker
51-609X,Soaking tank worker
51-609X,Soap boiler
51-609X,Soap mixer
51-609X,Soap tender
51-609X,Soaper
51-609X,Sock boarder
51-609X,Sock turner
51-609X,Soft boarder
51-609X,Softener
51-609X,Sourer
51-609X,Spanner
51-609X,Spare hand
51-609X,Speck dyer
51-609X,Specker
51-609X,Spindle setter
51-609X,Spinner
51-609X,Spinning bath patroller
51-609X,Spinning bath person
51-609X,Splicing machine operator
51-609X,Sponger
51-609X,Spool cleaner
51-609X,Spool fixer
51-609X,Spot cleaner
51-609X,Spray machine operator
51-609X,Sprinkler tender
51-609X,Starcher\ ns
51-609X,Starter
51-609X,Stayer
51-609X,Steam drier tender
51-609X,Steam finisher
51-609X,Steam gigger
51-609X,Steamer
51-609X,Steamer tender
51-609X,Steel turner
51-609X,Steeler
51-609X,Stoner out
51-609X,Stoner\ ns
51-609X,Strike out machine operator
51-609X,Striker out
51-609X,Stripper\ ns
51-609X,Sumac tanner
51-609X,Swatch folder
51-609X,Swatch maker
51-609X,Swatcher
51-609X,Sweat band separator
51-609X,Synthetic filament extruder
51-609X,Synthetic filament spinner
51-609X,Synthetic staple extruder
51-609X,Tabber
51-609X,Tailing hand
51-609X,Tangled yarn worker
51-609X,Tarring machine operator
51-609X,Tassel maker
51-609X,Tassel making machine operator
51-609X,Tawer
51-609X,Teasel gig operator
51-609X,Teasel setter
51-609X,Teaseler
51-609X,Temperer
51-609X,Tenter
51-609X,Tenter feeder
51-609X,Tenter frame operator
51-609X,Tenterer
51-609X,Tentering machine feeder
51-609X,Tentmaker
51-609X,Textile machine operator
51-609X,Textile pin worker
51-609X,Textile worker
51-609X,Third hand
51-609X,Throwster
51-609X,Tieing machine operator
51-609X,Tier over
51-609X,Tiger machine operator
51-609X,Tin whiz machine operator
51-609X,Tinner
51-609X,Tip stretcher
51-609X,Towel folder
51-609X,Towel stretcher
51-609X,Traveler changer
51-609X,Trimmer\ ns
51-609X,Tube coverer
51-609X,Tuft machine operator
51-609X,Tufter
51-609X,Tufting machine operator
51-609X,Turner off
51-609X,Umbrella finisher
51-609X,Vacuum drier operator
51-609X,Vacuum drier tender
51-609X,Vacuum tank tender
51-609X,Washer\ ns
51-609X,Waste machine tender
51-609X,Waste picker
51-609X,Waste reclaimer
51-609X,Watcher
51-609X,Weaver\ ns
51-609X,Weigh box tender
51-609X,Weighter
51-609X,Welt drawer
51-609X,Wet silk hanger
51-609X,Wet wheeler
51-609X,Wheel blocker
51-609X,White sourer
51-609X,Whiting can worker
51-609X,Whizzer hand
51-609X,Whizzer operator
51-609X,Wire dropper
51-609X,Wool carder
51-609X,Wool cleaner
51-609X,Wool hanker
51-609X,Wool mixer
51-609X,Wool scourer
51-609X,Wringer
51-609X,Yarder
51-609X,Yarn conditioner
51-609X,Yarn finisher
51-609X,Yarn mercerizer operator
51-609X,Yarn polishing machine operator
51-609X,Yarn sizer
51-609X,Yarn sorter
51-609X,Yarn washer
51-7011,Alteration worker
51-7011,Apprentice cabinetmaker wood
51-7011,Apprentice mechanist wood
51-7011,Bench carpenter woodworking
51-7011,Cabinet builder
51-7011,Cabinet worker
51-7011,Cabinetmaker
51-7011,Chair maker
51-7011,Chair mender
51-7011,Furniture maker
51-7011,Inlayer
51-7011,Machinist woodworking
51-7011,Marquetry worker
51-7011,Mechanic chair
51-7011,Mechanist wood
51-7011,Repairer antique furniture
51-7011,Repairer antique\ ns
51-7011,Wood furniture assembler
51-7011,Wood machinist
51-7011,Woodworker
51-7021,Antique finisher
51-7021,Antique refinisher
51-7021,Antiquer
51-7021,Apprentice furniture finisher
51-7021,Chair finisher
51-7021,Coater wood
51-7021,Finish patcher
51-7021,Finisher\ ns
51-7021,Furniture finisher
51-7021,Furniture polisher
51-7021,Furniture refinisher
51-7021,Furniture sander
51-7021,Grainer machine
51-7021,Grainer\ ns
51-7021,Hardwood finisher
51-7021,Piano refinisher
51-7021,Polisher wooden furniture
51-7021,Recoater
51-7021,Refinisher
51-7021,Television cabinet finisher
51-7021,Varnish finisher
51-7021,Wood cabinet finisher
51-7021,Wood filler
51-7021,Wood finisher
51-7021,Wood grainer
51-7021,Wood polisher
51-7041,Automatic log cut off sawyer
51-7041,Band saw operator
51-7041,Band saw runner
51-7041,Band sawyer
51-7041,Band scroll saw operator
51-7041,Bead cutter
51-7041,Beading sawyer
51-7041,Bill cutter
51-7041,Billet cutter
51-7041,Block bolter mule operator
51-7041,Block cutter
51-7041,Block saw operator
51-7041,Block sawyer
51-7041,Board saw runner
51-7041,Bolt machine operator
51-7041,Bolt maker
51-7041,Bolter
51-7041,Bottom saw operator
51-7041,Butting saw operator
51-7041,Button sawyer
51-7041,Buzzsaw operator
51-7041,Casey saw operator
51-7041,Chain saw driver
51-7041,Chucking and sawing machine operator
51-7041,Circle cutting saw operator
51-7041,Circle saw operator
51-7041,Circular head saw operator
51-7041,Clipper machine operator
51-7041,Clipper operator
51-7041,Cob sawyer
51-7041,Coping machine operator
51-7041,Cordwood cutter
51-7041,Corner former
51-7041,Corner trimmer operator
51-7041,Cross cut saw operator
51-7041,Crosscutter
51-7041,Crozer
51-7041,Crozer operator
51-7041,Cut off saw operator
51-7041,Cut off sawyer
51-7041,Cut off worker
51-7041,Cutter\ ns
51-7041,Defect cutter
51-7041,Dimension mill worker
51-7041,Door cutter
51-7041,Dowel pointer
51-7041,Drag sawyer
51-7041,Dragsaw operator
51-7041,Drum saw operator
51-7041,Edge runner
51-7041,Edge sawyer
51-7041,Edger
51-7041,Edger feeder
51-7041,Edger operator
51-7041,Edger runner
51-7041,Edger saw operator
51-7041,Edging catcher
51-7041,Edging machine operator
51-7041,Equalizer
51-7041,Equalizer operator
51-7041,Gang head saw operator
51-7041,Gang saw operator
51-7041,Gang sawyer wood
51-7041,Head sawyer
51-7041,Heading up machine operator
51-7041,Hewer
51-7041,Hoop cutter
51-7041,Jigsaw operator
51-7041,Jigsawyer
51-7041,Kerfer machine operator
51-7041,Knee bolter
51-7041,Knife setter
51-7041,Knot cutter
51-7041,Lather
51-7041,Lathmaker
51-7041,Log chipper
51-7041,Log cut off sawyer
51-7041,Log sawyer
51-7041,Lumber planer
51-7041,Lumber trimmer
51-7041,Matcher operator
51-7041,Matching machine operator
51-7041,Miller\ ns
51-7041,Mine wedge sawyer
51-7041,Miter operator
51-7041,Miter saw operator
51-7041,Miter sawyer
51-7041,Mitering machine operator
51-7041,Plug saw operator
51-7041,Pond sawyer
51-7041,Pony edger
51-7041,Pony trimmer
51-7041,Portable sawmill operator
51-7041,Power wood sawyer
51-7041,Prop cutter
51-7041,Prop sawyer
51-7041,Radial arm saw operator
51-7041,Radial saw operator
51-7041,Ratchet setter
51-7041,Resaw carriage operator
51-7041,Resaw operator
51-7041,Resawyer
51-7041,Resizer operator
51-7041,Rip and groove machine operator
51-7041,Rip saw operator
51-7041,Rip sawyer
51-7041,Ripper
51-7041,Saw operator
51-7041,Saw runner
51-7041,Sawing machine operator
51-7041,Sawmill hand
51-7041,Sawmill worker
51-7041,Sawyer
51-7041,Shake cutter
51-7041,Shake maker
51-7041,Shake sawyer
51-7041,Shake splitter
51-7041,Shim plug cutter
51-7041,Shingle cutter
51-7041,Shingle sawyer
51-7041,Shingle trimmer
51-7041,Side sawyer
51-7041,Slasher
51-7041,Slasher operator
51-7041,Splitter
51-7041,Stave and bolt equalizer
51-7041,Stave bolt equalizer
51-7041,Stave cutter
51-7041,Stave hewer
51-7041,Stave saw operator
51-7041,Stile ripsaw operator
51-7041,Stock cutter
51-7041,Swing saw operator
51-7041,Tail edger
51-7041,Tail sawyer
51-7041,Tail trimmer
51-7041,Tenon machine operator
51-7041,Tenoner operator
51-7041,Tie sawyer
51-7041,Timber cutter
51-7041,Timber trimmer
51-7041,Trim saw operator
51-7041,Trim sawyer
51-7041,Trimmer machine operator
51-7041,Trimmer\ ns
51-7041,Trimming machine operator
51-7041,Turning machine operator
51-7041,Unisaw operator
51-7041,Veneer clipper
51-7041,Veneer cutter
51-7041,Veneer sawyer
51-7041,Whip sawyer
51-7041,Wood cutter
51-7041,Wood sawyer
51-7041,Wood type cutter
51-7042,Adzing and boring machine operator
51-7042,Artificial log machine operator
51-7042,Balloon sander
51-7042,Band nailer
51-7042,Bander\ ns
51-7042,Barker operator
51-7042,Barrel builder
51-7042,Barrel charrer
51-7042,Barrel lathe operator
51-7042,Barrel maker
51-7042,Basket braider exc hand
51-7042,Basket maker exc hand
51-7042,Basket weaver exc hand
51-7042,Belt sander woodworking
51-7042,Bender machine operator
51-7042,Bending frame operator
51-7042,Blind slat stapling machine operator
51-7042,Board finisher
51-7042,Borer
51-7042,Boring machine operator
51-7042,Bottom turning lathe turner
51-7042,Bowl turner
51-7042,Box blank machine operator
51-7042,Box stapler
51-7042,Briar cutter
51-7042,Bucker
51-7042,Bucket chucker
51-7042,Bucket turner
51-7042,Chip machine operator
51-7042,Chip mixing machine operator
51-7042,Chipper
51-7042,Chipper machine operator
51-7042,Chucking and boring machine operator
51-7042,Chucking machine operator
51-7042,Chucking machine set up operator
51-7042,Cleat blanker
51-7042,Cleat maker
51-7042,Cleater
51-7042,Coat hanger shaper machine operator wood
51-7042,Copy lathe tender
51-7042,Core composer feeder
51-7042,Core layer machine operator
51-7042,Cork grinder
51-7042,Cork molder
51-7042,Corrugated fastener driver
51-7042,Corrugator
51-7042,Cylinder sander operator
51-7042,Dado operator
51-7042,Dolly operator
51-7042,Dollyman
51-7042,Door clamper
51-7042,Dovetail machine operator
51-7042,Dovetailer
51-7042,Dowel inserting machine operator
51-7042,Dowel machine operator
51-7042,Dowel maker
51-7042,Doweler
51-7042,Drill operator wood
51-7042,Drilling machine operator wood
51-7042,Embossing machine operator
51-7042,End frazer
51-7042,End matcher
51-7042,End stapler
51-7042,End touching machine operator
51-7042,Engineer creosoting
51-7042,Engineer retort
51-7042,Engineer treating
51-7042,Excelsior machine operator
51-7042,Fastener
51-7042,Flake cutter operator
51-7042,Flooring machine operator
51-7042,Frame polisher
51-7042,Frame table operator
51-7042,Framer
51-7042,Frazer
51-7042,Gouger wood
51-7042,Header
51-7042,Heading machine operator
51-7042,Heading pinner
51-7042,Heel nailing machine operator
51-7042,Hinging machine operator
51-7042,Hoop expander
51-7042,Hoop machine operator
51-7042,Hoop maker
51-7042,Hoop riveter
51-7042,Hooper
51-7042,Impregnator
51-7042,Incising machine operator
51-7042,Inletter
51-7042,Jointer machine operator
51-7042,Jointer operator
51-7042,Laminating machine operator
51-7042,Laminator\ ns
51-7042,Lap machine operator
51-7042,Lapper\ ns
51-7042,Last scourer
51-7042,Last turner
51-7042,Lathe sander
51-7042,Lathe set up operator
51-7042,Lathe spotter
51-7042,Linderman
51-7042,Linderman machine operator
51-7042,Linderman operator
51-7042,Line tender
51-7042,Lock corner machine operator
51-7042,Log cooker
51-7042,Lumber press operator
51-7042,Lumber tripper
51-7042,Machine carver wood
51-7042,Machine setter
51-7042,Miller wood
51-7042,Miller\ ns
51-7042,Milling machine hand wood
51-7042,Milling machine operator wood
51-7042,Milling machine tender wood
51-7042,Molder feeder
51-7042,Molder operator
51-7042,Molding sander
51-7042,Mortising machine operator
51-7042,Multiple drum sander
51-7042,Nail kegger
51-7042,Nail setter
51-7042,Nail sticker
51-7042,Nailer operator
51-7042,Nailer\ ns
51-7042,Nailhead operator
51-7042,Nailhead setter
51-7042,Nailing machine operator
51-7042,Pipe and tank fabricator
51-7042,Planer operator
51-7042,Planer setup operator
51-7042,Planer type milling machine setup operator
51-7042,Planer\ ns
51-7042,Planing machine operator
51-7042,Plow and boring machine tender
51-7042,Plug machine operator
51-7042,Plugging machine operator
51-7042,Plywood scarfer tender
51-7042,Pole peeling machine operator
51-7042,Power barker
51-7042,Power barker operator
51-7042,Power bender operator
51-7042,Prefitter doors
51-7042,Profile shaper operator
51-7042,Putty worker
51-7042,Rabbet operator
51-7042,Rafter cutting machine operator
51-7042,Rail bender
51-7042,Roof truss builder
51-7042,Roof truss machine tender
51-7042,Router hand wood
51-7042,Router operator\ ns
51-7042,Router wood
51-7042,Sander woodworking machine
51-7042,Sander\ ns
51-7042,Sanding machine buffer
51-7042,Sanding machine operator or tender
51-7042,Scooping machine tender
51-7042,Set up worker
51-7042,Setter up
51-7042,Shake backboard notcher
51-7042,Shaper operator
51-7042,Shook machine operator
51-7042,Shuttle spotter
51-7042,Skiver
51-7042,Skiving machine operator
51-7042,Skoog machine operator
51-7042,Skoog operator
51-7042,Skoog patching machine operator
51-7042,Slab tripper
51-7042,Slat basket maker
51-7042,Slicing machine operator/tender
51-7042,Spar machine operator
51-7042,Speed belt sander
51-7042,Spindle carver
51-7042,Splicer operator
51-7042,Splitter tender
51-7042,Splitting machine operator
51-7042,Squeezer
51-7042,Stacker tender
51-7042,Stapler\ ns
51-7042,Stapling machine operator
51-7042,Stave jointer
51-7042,Stave machine tender
51-7042,Steam box operator
51-7042,Stemhole borer
51-7042,Stroke belt sander operator
51-7042,Swing type lathe operator
51-7042,Timber sizer
51-7042,Tongue and groove machine operator
51-7042,Trimmer and borer machine operator
51-7042,Truss builder
51-7042,Turning sander operator
51-7042,Turret lathe operator
51-7042,Turret lathe set up operator
51-7042,Veneer joiner
51-7042,Veneer jointer operator
51-7042,Veneer lathe operator
51-7042,Veneer press operator
51-7042,Veneer slicing machine operator
51-7042,Veneer splicer
51-7042,Weaver\ ns
51-7042,Whiting machine operator
51-7042,Wire stitcher
51-7042,Wood borer
51-7042,Wood boring machine operator
51-7042,Wood carving lathe operator
51-7042,Wood carving machine operator
51-7042,Wood chopper
51-7042,Wood dowel machine operator
51-7042,Wood lathe operator
51-7042,Wood molder
51-7042,Wood planer
51-7042,Wood sander machine
51-7042,Wood turner
51-7042,Woodworking machine operator
51-70XX,Accordion maker
51-70XX,Airplane woodworker
51-70XX,Apprentice loft worker
51-70XX,Apprentice patternmaker wood
51-7031,Architectural wood model maker
51-70XX,Assembler casket wood
51-70XX,Belly builder
51-70XX,Boat oar maker
51-70XX,Carver hand
51-70XX,Carver wood
51-70XX,Casket maker wood
51-70XX,Dry house attendant
51-70XX,Dyer\ ns
51-70XX,Gun stock checker
51-70XX,Gun stock maker
51-70XX,Hand carver
51-70XX,Hat block maker
51-70XX,Last maker wood
51-70XX,Last model maker
51-70XX,Layout worker\ ns
51-70XX,Loft worker exc head
51-70XX,Mechanic experimental wood
51-70XX,Model builder wood
51-70XX,Model maker wood
51-70XX,Model maker\ ns
51-70XX,Mold forms builder
51-70XX,Pattern marker\ ns
51-70XX,Pattern worker
51-70XX,Patternmaker wood
51-70XX,Patternmaker\ ns
51-70XX,Piano case maker
51-70XX,Pipe maker
51-70XX,Planer hand
51-70XX,Plywood matcher
51-70XX,Pole framer
51-70XX,Sander woodworking hand
51-70XX,Sash sticker
51-70XX,Shaper\ ns
51-70XX,Showcase maker
51-70XX,Ski maker wood
51-70XX,Sled maker
51-70XX,Smoking pipe maker
51-70XX,Stock checker
51-70XX,Tanker
51-70XX,Tip inserter
51-70XX,Veneer drier
51-70XX,Veneer marker
51-70XX,Veneer patcher
51-70XX,Veneer taper
51-70XX,Wood carver
51-70XX,Wood die maker
51-70XX,Wood model maker
51-70XX,Wood patternmaker
51-70XX,Woodworker
51-8010,Apprentice substation operator
51-8010,Auxiliary equipment operator\ ns
51-8010,Auxiliary equipment tender
51-8010,Auxiliary operator
51-8010,Boiler operator
51-8010,Booster operator
51-8010,Booster plant operator
51-8010,Booster pump operator
51-8010,Control board operator
51-8010,Control room operator exc boilers
51-8010,Diesel plant operator
51-8010,Dispatcher load
51-8010,Dispatcher\ ns
51-8010,Electric operator
51-8010,Feeder switchboard operator
51-8010,Generator operator
51-8010,Heater
51-8010,Hydro operator
51-8010,Hydro plant operator
51-8010,Hydro station operator
51-8010,Hydroelectric operator
51-8013,Hydroelectric plant operator
51-8010,Hydroelectric station operator
51-8010,Inspector voltage
51-8010,Load dispatcher
51-8011,Nuclear control room operator
51-8010,Nuclear reactor operator
51-8011,Nuclear station operator
51-8010,Operator COW exc OWN
51-8010,Plant operator
51-8010,Power operator
51-8010,Power plant operator
51-8010,Power reactor operator
51-8010,Power station operator
51-8010,Powerhouse attendant
51-8010,Powerhouse operator
51-8010,Powerhouse tender
51-8010,Reactor operator\ ns
51-8010,Rectifier
51-8010,Rectifier operator
51-8010,Station operator
51-8010,Station tender
51-8012,Steam plant control room operator
51-8010,Steam turbine operator
51-8010,Substation operator
51-8010,Switchboard and control room operator
51-8010,Switchboard operator
51-8010,Turbine operator\ ns
51-8010,Turbine room attendant
51-8010,Turbo electric operator
51-8010,Turbo operator
51-8010,Unit operator
51-8021,Air compressor operator
51-8021,Apprentice stationary engineer
51-8021,Boiler fireman
51-8021,Boiler operator
51-8021,Boiler room operator
51-8021,Boiler tender
51-8021,Compressor boiler
51-8021,Compressor operator
51-8021,Cooling system operator
51-8021,Cooling tower operator
51-8021,Diesel engine operator
51-8021,Dredge pump operator
51-8021,Engineer air compressor
51-8021,Engineer air conditioning oper air cond systems
51-8021,Engineer air plant
51-8021,Engineer blowing
51-8021,Engineer boiler
51-8021,Engineer breaker
51-8021,Engineer building
51-8021,Engineer byproduct
51-8021,Engineer combustion operating power plant
51-8021,Engineer diesel stationary
51-8021,Engineer exhauster
51-8021,Engineer fan engine
51-8021,Engineer heating operators of heating systems
51-8021,Engineer maintenance
51-8021,Engineer power house
51-8021,Engineer pump house
51-8021,Engineer pumping station
51-8021,Engineer refrigeration operator refrig systems
51-8021,Engineer stationary
51-8021,Engineer steam
51-8021,Engineer watch
51-8021,Engineer\ ns high school graduate or less
51-8021,Engineman
51-8021,Exhaust worker
51-8021,Fan runner
51-8021,Gas engine operator
51-8021,Heating and ventilating worker
51-8021,Heating ventilation and air conditioning (hvac) mechanic boiler operator
51-8021,High pressure boiler operator
51-8021,Low pressure firer
51-8021,Marine firer
51-8021,Plugman
51-8021,Power operator
51-8021,Power plant operator
51-8021,Power station operator
51-8021,Powerhouse attendant
51-8021,Powerhouse operator
51-8021,Powerhouse tender
51-8021,Powerman
51-8021,Pump house operator
51-8021,Retort firer
51-8021,Stationary boiler fireman
51-8021,Stationary fireman
51-8021,Steam boiler fireman
51-8021,Steam plant operator
51-8021,Steam turbine operator
51-8021,Tank farm operator
51-8021,Turbine operator\ ns
51-8021,Turbo electric operator
51-8021,Turbo operator
51-8021,Ventilation worker
51-8021,Watch engine operator
51-8021,Water pump operator
51-8021,Water pumper
51-8031,Basin tender
51-8031,Clarifying plant operator
51-8031,Dispatcher radioactive waste disposal
51-8031,Dispatcher\ ns
51-8031,Disposal operator
51-8031,Disposal plant operator
51-8031,Filter tender
51-8031,Filterer
51-8031,Filtration operator
51-8031,Filtration plant operator
51-8031,Liquid waste treatment plant operator
51-8031,Operator COW exc OWN
51-8031,Plant operator
51-8031,Pump station operator waterworks
51-8031,Purification operator
51-8031,Sewage plant operator
51-8031,Sewage treatment plant operator
51-8031,Technician water treatment
51-8031,Waste disposal plant operator
51-8031,Waste treatment operator
51-8031,Wastewater treatment plant operator
51-8031,Water filterer
51-8031,Water plant operator
51-8031,Water pump operator
51-8031,Water pumper
51-8031,Water purifier operator
51-8031,Water reclamation systems operator
51-8031,Water treatment plant operator
51-8031,Watershed tender
51-8031,Waterworks employee
51-8031,Waterworks operator
51-8090,Absorption plant operator
51-8090,Asphalt plant operator
51-8090,Badger distiller operator
51-8090,Batch and furnace operator
51-8090,Batch plant operator
51-8090,Batcher operator
51-8090,Bulk plant operator
51-8090,Chemical plant operator
51-8090,Chief operator
51-8090,Coal pipe line operator
51-8099,Concrete batch plant operator
51-8090,Control board operator
51-8090,Control board operator
51-8090,Control operator
51-8090,Denitrator
51-8090,Dispatcher\ ns
51-8090,Field gauger
51-8090,Fire tender
51-8090,Firer high pressure
51-8090,Forming process worker
51-8090,Fuel distribution system operator
51-8090,Garbage stoker
51-8092,Gas controller
51-8090,Gas maker
51-8090,Gas operator
51-8092,Gas plant dispatcher
51-8090,Gas plant operator
51-8090,Gas producer
51-8090,Gas treater
51-8090,Gasoline plant operator
51-8090,Gauger\ ns
51-8090,Helper pumper
51-8090,High pressure operator
51-8090,Houseman\ ns
51-8090,Hydrogenation operator
51-8093,Hydrotreater operator
51-8090,Incinerator attendant
51-8090,Incinerator operator
51-8090,Irrigation system operator
51-8090,Lime filter operator
51-8090,Liquefaction plant operator
51-8090,Load dispatcher
51-8090,Lock tender chief operator
51-8090,Naphtha washing system operator
51-8091,Nitric acid plant operator
51-8090,Nitrogen operator
51-8090,Oil gauger
51-8093,Oil pipeline operator
51-8090,Oil pumper
51-8090,Oil refiner
51-8090,Panelboard operator
51-8090,Petroleum plant operator
51-8091,Pharmaceutical manufacturing machine operator
51-8090,Pharmaceutical operator
51-8090,Pilot plant operator
51-8090,Plant operator
