O*NET-SOC Code,Title,Example,Commodity Code,Commodity Title,Hot Technology
11-2011.01,Green Marketers,Inventory tracking software,43231508,Inventory management software,N
11-2011.01,Green Marketers,JavaScript,43232408,Web platform development software,Y
11-2011.01,Green Marketers,LinkedIn,43232107,Web page creation and editing software,Y
11-2011.01,Green Marketers,MailChimp,43233501,Electronic mail software,N
11-2011.01,Green Marketers,Marketo Marketing Automation,43231514,Sales and marketing software,Y
11-2011.01,Green Marketers,Microsoft Access,43232306,Data base user interface and query software,Y
11-2011.01,Green Marketers,Microsoft Excel,43232110,Spreadsheet software,Y
11-2011.01,Green Marketers,Microsoft Office,43231513,Office suite software,Y
11-2011.01,Green Marketers,Microsoft Outlook,43233501,Electronic mail software,Y
11-2011.01,Green Marketers,Microsoft PowerPoint,43232106,Presentation software,Y
11-2011.01,Green Marketers,Microsoft Project,43231507,Project management software,Y
11-2011.01,Green Marketers,Microsoft Publisher,43232112,Desktop publishing software,N
11-2011.01,Green Marketers,Microsoft SharePoint,43231507,Project management software,Y
11-2011.01,Green Marketers,Microsoft SQL Server,43232304,Data base management system software,Y
11-2011.01,Green Marketers,Microsoft Word,43232104,Word processing software,Y
11-2011.01,Green Marketers,Oracle Eloqua,43232303,Customer relationship management CRM software,N
11-2011.01,Green Marketers,Pinterest,43232309,Information retrieval or search software,N
11-2011.01,Green Marketers,Salesforce software,43232303,Customer relationship management CRM software,Y
11-2011.01,Green Marketers,SAP,43231602,Enterprise resource planning ERP software,Y
11-2011.01,Green Marketers,Scheduling software,43232108,Calendar and scheduling software,N
11-2011.01,Green Marketers,Social media software,43232107,Web page creation and editing software,N
11-2011.01,Green Marketers,Software development tools,43232402,Development environment software,N
11-2011.01,Green Marketers,Structure query language SQL,43232306,Data base user interface and query software,N
11-2011.01,Green Marketers,Twitter,43233504,Instant messaging software,N
11-2011.01,Green Marketers,Vimeo,43232103,Video creation and editing software,N
11-2011.01,Green Marketers,Web browser software,43232705,Internet browser software,N
11-2011.01,Green Marketers,WebTrends Analytics,43232605,Analytical or scientific software,N
